what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350241318821
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350241318821
java.vm.specification.version,sysinfo,,,"1.0",1350241318821
java.vm.vendor,sysinfo,,,"Apple Inc.",1350241318821
java.vm.version,sysinfo,,,"20.8-b03-424",1350241318821
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350241318852
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1350241319229
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1350241319275
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1350241319340
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1350241319345
error,log,,,"DDMS files not found: /Applications/Eclipse/Eclipse.app/Contents/MacOS/platform-tools/adb /Applications/Eclipse/Eclipse.app/Contents/MacOS/tools/hprof-conv /Applications/Eclipse/Eclipse.app/Contents/MacOS/tools/traceview ",1350241319366
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1350241319371
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1350241319375
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1350241319379
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1350241319383
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1350241322181
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350241351739
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350241353130
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1350241378692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350241382528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350241382686
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1350241386066
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1350241386080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350241442998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350241443129
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1350241451085
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1350241451113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350241451229
